X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths
-9.429499,6.428055,377,,Liberia,2022/09/11 05:20:45+00,6.428055,-9.429499,7898,294
17.228331,26.3351,378,,Libya,2022/09/11 05:20:45+00,26.3351,17.228331,506889,6437
9.55,47.14,379,,Liechtenstein,2022/09/11 05:20:45+00,47.14,9.55,19285,86
23.8813,55.1694,380,,Lithuania,2022/09/11 05:20:45+00,55.1694,23.8813,1226496,9294
6.1296,49.8153,381,,Luxembourg,2022/09/11 05:20:45+00,49.8153,6.1296,288658,1123
,,382,,MS Zaandam,2022/09/11 05:20:45+00,,,9,2
46.869107,-18.766947,383,,Madagascar,2022/09/11 05:20:45+00,-18.766947,46.869107,66640,1410
34.3015,-13.2543,384,,Malawi,2022/09/11 05:20:45+00,-13.2543,34.3015,87933,2679
103.7618,1.4854,385,Johor,Malaysia,2022/09/11 05:20:45+00,1.4854,103.7618,392718,4617
100.3685,6.1184,386,Kedah,Malaysia,2022/09/11 05:20:45+00,6.1184,100.3685,308422,2668
102.2381,6.1254,387,Kelantan,Malaysia,2022/09/11 05:20:45+00,6.1254,102.2381,252587,1421
102.2501,2.1896,388,Melaka,Malaysia,2022/09/11 05:20:45+00,2.1896,102.2501,134001,1182
101.9424,2.7258,389,Negeri Sembilan,Malaysia,2022/09/11 05:20:45+00,2.7258,101.9424,220325,1508
103.3256,3.8126,390,Pahang,Malaysia,2022/09/11 05:20:45+00,3.8126,103.3256,176706,1005
101.0901,4.5921,391,Perak,Malaysia,2022/09/11 05:20:45+00,4.5921,101.0901,224512,2017
100.2048,6.4449,392,Perlis,Malaysia,2022/09/11 05:20:45+00,6.4449,100.2048,18306,192
100.3288,5.4141,393,Pulau Pinang,Malaysia,2022/09/11 05:20:45+00,5.4141,100.3288,295735,2029
116.0753,5.9788,394,Sabah,Malaysia,2022/09/11 05:20:45+00,5.9788,116.0753,391703,3149
110.3592,1.5533,395,Sarawak,Malaysia,2022/09/11 05:20:45+00,1.5533,110.3592,313821,1761
101.5183,3.0738,396,Selangor,Malaysia,2022/09/11 05:20:45+00,3.0738,101.5183,1466392,10830
103.1324,5.3117,397,Terengganu,Malaysia,2022/09/11 05:20:45+00,5.3117,103.1324,129091,880
,,398,Unknown,Malaysia,2022/09/11 05:20:45+00,,,0,0
101.6869,3.139,399,W.P. Kuala Lumpur,Malaysia,2022/09/11 05:20:45+00,3.139,101.6869,430225,2831
115.2308,5.2831,400,W.P. Labuan,Malaysia,2022/09/11 05:20:45+00,5.2831,115.2308,22198,157
101.6964,2.9264,401,W.P. Putrajaya,Malaysia,2022/09/11 05:20:45+00,2.9264,101.6964,26882,30
73.2207,3.2028,402,,Maldives,2022/09/11 05:20:45+00,3.2028,73.2207,184924,308
-3.996166,17.570692,403,,Mali,2022/09/11 05:20:45+00,17.570692,-3.996166,32205,739
14.3754,35.9375,404,,Malta,2022/09/11 05:20:45+00,35.9375,14.3754,114251,802
171.1845,7.1315,405,,Marshall Islands,2022/09/11 05:20:45+00,7.1315,171.1845,15072,17
-10.9408,21.0079,406,,Mauritania,2022/09/11 05:20:45+00,21.0079,-10.9408,62776,993
57.552152,-20.348404,407,,Mauritius,2022/09/11 05:20:45+00,-20.348404,57.552152,258301,1023
-102.2916,21.8853,408,Aguascalientes,Mexico,2022/09/11 05:20:45+00,21.8853,-102.2916,84217,3560
-115.2838,30.8406,409,Baja California,Mexico,2022/09/11 05:20:45+00,30.8406,-115.2838,163289,12414
-111.6661,26.0444,410,Baja California Sur,Mexico,2022/09/11 05:20:45+00,26.0444,-111.6661,124155,2748
-90.5349,19.8301,411,Campeche,Mexico,2022/09/11 05:20:45+00,19.8301,-90.5349,42803,2279
-93.1292,16.7569,412,Chiapas,Mexico,2022/09/11 05:20:45+00,16.7569,-93.1292,48323,2431
-106.0691,28.633,413,Chihuahua,Mexico,2022/09/11 05:20:45+00,28.633,-106.0691,164059,10117
-99.1332,19.4326,414,Ciudad de Mexico,Mexico,2022/09/11 05:20:45+00,19.4326,-99.1332,1730910,43513
-101.7068,27.0587,415,Coahuila,Mexico,2022/09/11 05:20:45+00,27.0587,-101.7068,179747,8951
-104.0072,19.1223,416,Colima,Mexico,2022/09/11 05:20:45+00,19.1223,-104.0072,67123,2241
-104.6588,24.5593,417,Durango,Mexico,2022/09/11 05:20:45+00,24.5593,-104.6588,79169,3667
-101.2574,21.019,418,Guanajuato,Mexico,2022/09/11 05:20:45+00,21.019,-101.2574,350767,15058
-99.5451,17.4392,419,Guerrero,Mexico,2022/09/11 05:20:45+00,17.4392,-99.5451,115881,6837
-98.7624,20.0911,420,Hidalgo,Mexico,2022/09/11 05:20:45+00,20.0911,-98.7624,118603,8535
-103.3494,20.6595,421,Jalisco,Mexico,2022/09/11 05:20:45+00,20.6595,-103.3494,282945,19955
-99.7233,19.4969,422,Mexico,Mexico,2022/09/11 05:20:45+00,19.4969,-99.7233,699048,47835
-101.7068,19.5665,423,Michoacan,Mexico,2022/09/11 05:20:45+00,19.5665,-101.7068,109561,8958
-99.1013,18.6813,424,Morelos,Mexico,2022/09/11 05:20:45+00,18.6813,-99.1013,90244,5337
-104.8455,21.7514,425,Nayarit,Mexico,2022/09/11 05:20:45+00,21.7514,-104.8455,71863,3238
-99.9962,25.5922,426,Nuevo Leon,Mexico,2022/09/11 05:20:45+00,25.5922,-99.9962,399350,15323
-96.7266,17.0732,427,Oaxaca,Mexico,2022/09/11 05:20:45+00,17.0732,-96.7266,148594,6328
-98.2063,19.0414,428,Puebla,Mexico,2022/09/11 05:20:45+00,19.0414,-98.2063,207350,16646
-100.3899,20.5888,429,Queretaro,Mexico,2022/09/11 05:20:45+00,20.5888,-100.3899,176429,6320
-88.4791,19.1817,430,Quintana Roo,Mexico,2022/09/11 05:20:45+00,19.1817,-88.4791,111614,4420
-100.9855,22.1565,431,San Luis Potosi,Mexico,2022/09/11 05:20:45+00,22.1565,-100.9855,236916,7591
-107.4795,25.1721,432,Sinaloa,Mexico,2022/09/11 05:20:45+00,25.1721,-107.4795,174517,9899
-110.3309,29.2972,433,Sonora,Mexico,2022/09/11 05:20:45+00,29.2972,-110.3309,194284,10281
-92.6189,17.8409,434,Tabasco,Mexico,2022/09/11 05:20:45+00,17.8409,-92.6189,213180,6127
-98.8363,24.2669,435,Tamaulipas,Mexico,2022/09/11 05:20:45+00,24.2669,-98.8363,175624,8172
-98.2404,19.3139,436,Tlaxcala,Mexico,2022/09/11 05:20:45+00,19.3139,-98.2404,56307,3123
,,437,Unknown,Mexico,2022/09/11 05:20:45+00,,,0,0
-96.1342,19.1738,438,Veracruz,Mexico,2022/09/11 05:20:45+00,19.1738,-96.1342,223595,17006
-89.0943,20.7099,439,Yucatan,Mexico,2022/09/11 05:20:45+00,20.7099,-89.0943,136448,6910
-102.5832,22.7709,440,Zacatecas,Mexico,2022/09/11 05:20:45+00,22.7709,-102.5832,79354,3916
150.5508,7.4256,441,,Micronesia,2022/09/11 05:20:45+00,7.4256,150.5508,9037,27
28.3699,47.4116,442,,Moldova,2022/09/11 05:20:45+00,47.4116,28.3699,579110,11783
7.4167,43.7333,443,,Monaco,2022/09/11 05:20:45+00,43.7333,7.4167,14436,63
103.8467,46.8625,444,,Mongolia,2022/09/11 05:20:45+00,46.8625,103.8467,980442,2129
19.37439,42.708678,445,,Montenegro,2022/09/11 05:20:45+00,42.708678,19.37439,277191,2778
-7.0926,31.7917,446,,Morocco,2022/09/11 05:20:45+00,31.7917,-7.0926,1264648,16276
35.529562,-18.665695,447,,Mozambique,2022/09/11 05:20:45+00,-18.665695,35.529562,230171,2221
18.4904,-22.9576,448,,Namibia,2022/09/11 05:20:45+00,-22.9576,18.4904,169253,4077
84.25,28.1667,449,,Nepal,2022/09/11 05:20:45+00,28.1667,84.25,998654,12012
-69.9683,12.5211,450,Aruba,Netherlands,2022/09/11 05:20:45+00,12.5211,-69.9683,42970,228
-68.2385,12.1784,451,"Bonaire, Sint Eustatius and Saba",Netherlands,2022/09/11 05:20:45+00,12.1784,-68.2385,11279,38
-68.99,12.1696,452,Curacao,Netherlands,2022/09/11 05:20:45+00,12.1696,-68.99,45318,287
6.618435,52.862485,453,Drenthe,Netherlands,2022/09/11 05:20:45+00,52.862485,6.618435,211026,458
5.515162,52.550383,454,Flevoland,Netherlands,2022/09/11 05:20:45+00,52.550383,5.515162,191621,336
